Ticker,Company Name,Industry,Avg_Revenue,Avg_COGS_ratio,Avg_SGA_ratio,Avg_Operating_Margin,Avg_Net_Margin,Years
CURV,Torrid Holdings Inc.,Retail - Apparel & Specialty,1165053400.0,0.6310977074733927,0.3142924220959295,0.05460987043067782,0.013138561978949578,5
JILL,"J.Jill, Inc.",Retail - Apparel & Specialty,569872800.0,0.33012045399317824,0.616338436427039,0.053541109579782684,-0.03648239619714631,5
BBY,BEST BUY CO INC,Retail - Apparel & Specialty,46060200000.0,0.7780647950408092,0.17444209731355959,0.04749310764563125,0.03339705433439875,5
PETS,PETMED EXPRESS INC,Retail - Defensive,266026600.0,0.7007301001812628,0.24067821891642308,0.040794986184139806,0.026721805362756236,5
WMT,Walmart Inc,Retail - Defensive,614460800000.0,0.7534091284113842,0.20582880853799454,0.04076206305062131,0.023922859287415704,5
MUSA,Murphy USA Inc.,Retail - Defensive,18768920000.0,0.8883253429050665,0.01181128613756067,0.0405462806306025,0.02730453111339983,5
M,"Macy's, Inc.",Retail - Apparel & Specialty,23163400000.0,0.6128036352364206,0.34808631640955273,0.039110048354026775,-0.01788414610123561,5
BJ,"BJ's Wholesale Club Holdings, Inc.",Retail - Defensive,17137494666.666666,0.8148551792601643,0.14524521184983774,0.03895939359976574,0.026484391547620906,3
OSTK,"OVERSTOCK.COM, INC",Retail - Apparel & Specialty,2493915000.0,0.7708999705282658,0.14370698279612576,0.038780391472844906,0.022455055605343405,1
ZUMZ,Zumiez Inc,Retail - Apparel & Specialty,979517400.0,0.6520940656749634,0.30954727882569133,0.038358655499345314,0.02524297987513473,5
BURL,"Burlington Stores, Inc.",Retail - Defensive,8830226000.0,0.5872442913065411,0.3427217536806047,0.037976027934771825,0.023002516060552862,5
TTSH,"Tile Shop Holdings, Inc.",Retail - Apparel & Specialty,362935200.0,0.33571832215134817,0.6271876924469251,0.03709398540172674,0.02631660454532737,5
ODP,OFFICE DEPOT INC,Retail - Apparel & Specialty,8126800000.0,0.782142892304379,0.1817270864658791,0.03613002122974189,-0.00472448094196531,5
DXLG,"DESTINATION XL GROUP, INC.",Retail - Apparel & Specialty,471727000.0,0.5456624796956813,0.3825055094789628,0.03466173761869457,0.02662971343796163,5
COST,COSTCO WHOLESALE CORP /NEW,Retail - Defensive,217277400000.0,0.8740153991404579,0.09175567412748573,0.03422892673205643,0.026044897152380488,5
FLWS,1 800 FLOWERS COM INC,Retail - Apparel & Specialty,1933808200.0,0.6022264809026157,0.31086570531317964,0.03351653742613577,0.016687727956133703,5
KSS,KOHLS Corp,Retail - Apparel & Specialty,17436600000.0,0.6134420171408206,0.30958629510706187,0.030729486642760956,0.012372236625821525,5
DTC,"Solo Brands, Inc.",Retail - Apparel & Specialty,232284500.0,0.3698314442222991,0.3497004900139059,0.03048934348509094,0.013240710695858733,2
SPWH,"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",Retail - Apparel & Specialty,1368594800.0,0.6820783216008725,0.2876603153387186,0.03026136306040895,0.022760038268249547,5
LE,"LANDS' END, INC.",Retail - Apparel & Specialty,1490988800.0,0.5734339331192995,0.3675564756914741,0.030135195769243395,-0.012850321492612487,5
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",Retail - Defensive,1112827200.0,0.7179662721671513,0.25135385017546336,0.029375414329434857,0.02122292952889255,5
GO,Grocery Outlet Holding Corp.,Retail - Defensive,3626655400.0,0.6921945316971257,0.2732413730582999,0.028594478318866846,0.020299374304755254,5
BGFV,BIG 5 SPORTING GOODS Corp,Retail - Apparel & Specialty,975756600.0,0.6657814283416057,0.3062996023151573,0.02839917894512408,0.014652982143415677,5
WMK,WEIS MARKETS INC,Retail - Defensive,4753151500.0,0.7492609852117964,0.22244587884785205,0.02829313594035146,0.022483446643638133,2
ACI,"Albertsons Companies, Inc.",Retail - Defensive,74616200000.0,0.7151016447562872,0.257193459471209,0.027704895772503818,0.017644177169043967,4
KR,KROGER CO,Retail - Defensive,143161200000.0,0.7765859459188498,0.1723721273696252,0.02416476967075052,0.015837002353169927,5
DLTH,DULUTH HOLDINGS INC.,Retail - Apparel & Specialty,659338750.0,0.4781671238244299,0.4978891703154091,0.02394370586016105,0.012988520499448424,4
GCO,GENESCO INC,Retail - Apparel & Specialty,2248637600.0,0.5282433881643719,0.4498073449700305,0.021949266865597623,0.006124676650894244,5
VLGEA,VILLAGE SUPER MARKET INC,Retail - Defensive,2104992800.0,0.7181200132753738,0.2439137580180705,0.021885588108961657,0.015644197999617797,5
RMBL,"RumbleON, Inc.",Retail - Apparel & Specialty,1209200000.0,0.7400760833608998,0.22775388686735032,0.020344029110155475,-0.06500165398610652,1
LVLU,"Lulu's Fashion Lounge Holdings, Inc.",Retail - Apparel & Specialty,312140500.0,0.5429731484139265,0.43669294627886235,0.020333905307211103,-0.0406882258843844,2
CVGW,"Calavo Growers, Inc.",Retail - Defensive,828107600.0,0.916349360307297,0.06477170166204207,0.01887893803066095,-0.009873320778983582,5
AKA,a.k.a. Brands Holding Corp.,Retail - Apparel & Specialty,502160000.0,0.43929052810427593,0.5428436802329439,0.01786579166277996,-0.09186422138739321,5
ARKO,Arko Corp.,Retail - Apparel & Specialty,7743024400.0,0.8522975767434188,0.061930418969731296,0.016601546820896245,0.005057127393224906,5
CAPL,CrossAmerica Partners LP,Retail - Defensive,3792711400.0,0.9105709569619689,0.0075664650958551264,0.015981955399027966,0.0179342588042228,5
JD,"JD.com, Inc.",Retail - Apparel & Specialty,108057846517.0,0.8537037980623372,0.04500524267096986,0.014338926417122687,0.06624412377007578,1
TA_delisted,TRAVELCENTERS OF AMERICA LLC,Retail - Apparel & Specialty,7675957000.0,0.7737425748337706,0.02287635627431887,0.014104566139684438,0.006745444191958037,3
DNUT,"Krispy Kreme, Inc.",Retail - Defensive,1477565200.0,0.2613935580901272,0.18689912158008298,0.013081269155856733,-0.0211708961439638,5
HOUR,"Hour Loop, Inc.",Retail - Apparel & Specialty,107275033.75,0.4776741367352202,0.5098946126905786,0.012431250574201266,0.011786511662409089,4
CTRN,"Citi Trends, Inc.",Retail - Apparel & Specialty,814184000.0,0.6088422744672146,0.35451740161348333,0.012352034522766227,0.018823128270659305,5
ANDE,"The Andersons, Inc.",Retail - Defensive,12801942800.0,0.9511869780137927,0.036980401392526834,0.011832620593680504,0.006750933834908638,5
SPTN,SpartanNash Co,Retail - Defensive,9567532000.0,0.845301177624647,0.142989477652081,0.011709344723272033,0.0042751025449244895,4
USFD,US Foods Holding Corp.,Retail - Defensive,28809666666.666668,0.8394555209535067,0.15024931697516405,0.01029516207132912,0.0014471055019431333,3
HFFG,HF Foods Group Inc.,Retail - Defensive,976868600.0,0.8216284851414812,0.16839179199424065,0.00997972286427806,-0.12402020086425594,5
BZUN,Baozun Inc.,Retail - Apparel & Specialty,1308693416.6,0.3057949862255755,0.3618439618606726,0.007703344723307781,-0.02085744822368029,5
JWN,NORDSTROM INC,Retail - Apparel & Specialty,14148600000.0,0.6490273272487509,0.3439980196218263,0.0069746531294227155,-0.0015769423942228785,5
BBW,"Build-A-Bear Workshop, Inc.",Retail - Apparel & Specialty,338543000.0,0.5462230794906408,0.449121677305394,0.004655243203965227,0.0007709508097937338,1
PLCE,"Childrens Place, Inc.",Retail - Apparel & Specialty,1627044200.0,0.6911913087766932,0.27249899484483286,0.0038588159163230225,-0.02665567582153431,5
CHEF,"Chefs' Warehouse, Inc.",Retail - Defensive,2539752400.0,0.7676494405968961,0.2260493934291496,0.0019672741076887045,-0.008416784882486462,5
RAD,RITE AID CORP,Retail - Defensive,24234464666.666668,0.7990297154111211,0.20068946570695997,0.00028081888191889534,-0.0189422785736904,3
LL,"Lumber Liquidators Holdings, Inc.",Retail - Apparel & Specialty,1066367750.0,0.6276534526962753,0.37305954071637,-0.0007129934126452638,-0.008280559751287466,4
CHWY,"Chewy, Inc.",Retail - Apparel & Specialty,9848345200.0,0.7246241848585848,0.2769586585574433,-0.0015828434160280104,0.004052784642439111,5
TLYS,"TILLY'S, INC.",Retail - Apparel & Specialty,634367800.0,0.7047388374638051,0.2927496049188414,-0.0026837069291204218,-0.008294262903493239,5
WBA,"Walgreens Boots Alliance, Inc.",Retail - Defensive,134786600000.0,0.7974256182592658,0.2072156087945533,-0.006360355565844755,-0.005001016849567885,5
IMBI,"iMedia Brands, Inc.",Retail - Apparel & Specialty,502652500.0,0.6141284217408935,0.3442319164654512,-0.017108813459629023,-0.03453550851998678,2
BIG,BIG LOTS INC,Retail - Defensive,5635054250.0,0.6250813146994945,0.3678729205035894,-0.01905829871175297,-0.002544879703805243,4
CPNG,"Coupang, Inc.",Retail - Apparel & Specialty,21121467800.0,0.7798490147357331,0.2393357868070151,-0.019184801542748136,-0.013227674656607244,5
CTHR,CHARLES & COLVARD LTD,Retail - Apparel & Specialty,24733795.75,0.5978317275908882,0.4239198217792747,-0.02175154937016291,-0.07662190366895628,4
CVNA,CARVANA CO.,Retail - Apparel & Specialty,11289800000.0,0.8490708448865949,0.17302273476914584,-0.02262347691093273,-0.020132279295966973,5
PRTY,Party City Holdco Inc.,Retail - Apparel & Specialty,2010875000.0,0.6932296360322714,0.32877381334690137,-0.03164511891020871,-0.14421721171659033,2
YI,"111, Inc.",Retail - Defensive,1847864276.8,0.9457801494562503,0.048620373655977316,-0.032019555656520024,-0.034233079734162175,5
