Ticker,Company Name,Sector,Industry,Fiscal_Year,Report Date,Revenue,COGS,SGA,Operating_Income,Net_Income,Total Assets,COGS_ratio,SGA_ratio,Operating_margin,Net_margin,Log_Assets
ANF,ABERCROMBIE & FITCH CO /DE/,Consumer Cyclical,Retail - Apparel & Specialty,2023,2024-01-31,4280677000.0,-1587265000.0,-2214614000.0,484671000.0,328123000,2974233000.0,0.3707976565389073,0.5173513441915847,0.11322297851484707,0.07665212768914824,21.81325202757792
ANF,ABERCROMBIE & FITCH CO /DE/,Consumer Cyclical,Retail - Apparel & Specialty,2024,2025-01-31,4948587000.0,-1773926000.0,-2440473000.0,740820000.0,566223000,3299887000.0,0.35847121612694693,0.493165624854125,0.149703339559353,0.11442114688495929,21.91715406240832
APRN,"Blue Apron Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,460608000.0,-282924000.0,-187178000.0,-38564000.0,-46154000,215335000.0,0.6142403084618591,0.40637157843545924,-0.08372412116159511,-0.10020234125329999,19.187705512986895
APRN,"Blue Apron Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,470377000.0,-301763000.0,-217528000.0,-71117000.0,-88381000,231706000.0,0.6415343437285411,0.46245458430152836,-0.1511914910805588,-0.18789396590394514,19.260979884621918
APRN,"Blue Apron Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,458467000.0,-304574000.0,-239219000.0,-108718000.0,-109733000,171142000.0,0.6643313477305891,0.5217801935580969,-0.23713375226570288,-0.23934765206656095,18.958004179224567
ARHS,"Arhaus, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,507429000.0,-307925000.0,-168616000.0,30888000.0,6082000,322553000.0,0.6068336653994943,0.33229476439068323,0.06087157020982246,0.011985913300185839,19.591778021782854
ARHS,"Arhaus, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,796922000.0,-466989000.0,-296117000.0,33816000.0,21117000,586550000.0,0.5859908497945847,0.3715758882299648,0.04243326197545055,0.026498201831546876,20.189768473916004
ARHS,"Arhaus, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,1228928000.0,-703869000.0,-340388000.0,184671000.0,136634000,937084000.0,0.5727503970940527,0.2769796114988022,0.1502699914071451,0.11118145245286949,20.658283483996737
ARHS,"Arhaus, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-12-31,1287704000.0,-747281000.0,-376112000.0,164311000.0,125239000,1105148000.0,0.5803204773767885,0.2920795462311214,0.12759997639209011,0.09725759957257257,20.823245099599
ARHS,"Arhaus, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2024,2024-12-31,1271107000.0,-769878000.0,-415426000.0,85803000.0,68550000,1206316000.0,0.6056752106628317,0.3268222108760317,0.06750257846113664,0.053929370226109996,20.910836924146565
