Ticker,Company Name,Sector,Industry,Fiscal_Year,Report Date,Revenue,COGS,SGA,Operating_Income,Net_Income,Total Assets,COGS_ratio,SGA_ratio,Operating_margin,Net_margin,ROA,Log_Assets
TTSH,"Tile Shop Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,394702000.0,-135765000.0,-236328000.0,22609000.0,15703000,345822000.0,0.343968360940659,0.5987504497063607,0.057281189352980225,0.03978444497367634,0.04540775312154808,19.661434749779698
TTSH,"Tile Shop Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-12-31,377146000.0,-134085000.0,-226903000.0,16158000.0,10071000,316672000.0,0.3555254463788559,0.6016317288265022,0.04284282479464186,0.026703186564354386,0.0318026222716249,19.573377095854188
TTSH,"Tile Shop Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2024,2024-12-31,347071000.0,-119197000.0,-224357000.0,3517000.0,2321000,319603000.0,0.3434369336533447,0.6464296930599215,0.01013337328673384,0.006687392493178629,0.00726213458572041,19.582590158545756
ULTA,"Ulta Salon, Cosmetics & Fragrance, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2020,2021-01-31,6151953000.0,-4202794000.0,-1583017000.0,351142000.0,175835000,5089969000.0,0.6831641919240931,0.25731942360417903,0.057078134374563654,0.02858198038899192,0.03454539703483459,22.350537577117016
ULTA,"Ulta Salon, Cosmetics & Fragrance, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2021,2022-01-31,8630889000.0,-5262335000.0,-2061545000.0,1297492000.0,985837000,4764379000.0,0.6097094980598174,0.23885662299677357,0.15033121153568305,0.1142219532657644,0.20691825734266733,22.284433040270937
ULTA,"Ulta Salon, Cosmetics & Fragrance, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2022,2023-01-31,10208580000.0,-6164070000.0,-2395299000.0,1638610000.0,1242408000,5370411000.0,0.603812675220256,0.2346358651252182,0.16051301944050986,0.12170233274363329,0.23134318770015927,22.40417027885128
ULTA,"Ulta Salon, Cosmetics & Fragrance, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2023,2024-01-31,11207303000.0,-6826203000.0,-2694561000.0,1678029000.0,1291005000,5707011000.0,0.6090852544987853,0.24042903096311397,0.14972638823095977,0.11519319143954616,0.22621386221263634,22.464961255956634
ULTA,"Ulta Salon, Cosmetics & Fragrance, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2024,2025-01-31,11295654000.0,-6908401000.0,-2808592000.0,1564972000.0,1201118000,6001693000.0,0.6115981420819016,0.24864359336785635,0.13854638252906826,0.10633452476501139,0.20012986335688945,22.515307433039606
URBN,URBAN OUTFITTERS INC,Consumer Cyclical,Retail - Apparel & Specialty,2020,2021-01-31,3449749000.0,-2572347000.0,-857934000.0,19468000.0,1236000,3546345000.0,0.7456620757046383,0.24869461517345176,0.005643309121910029,0.0003582869362379698,0.0003485278505052385,21.98918333258999
URBN,URBAN OUTFITTERS INC,Consumer Cyclical,Retail - Apparel & Specialty,2021,2022-01-31,4548763000.0,-3054813000.0,-1085384000.0,408566000.0,310616000,3791347000.0,0.6715700510226627,0.2386108047396622,0.08981914423767516,0.06828581748488545,0.08192761042447447,22.055987201868916
URBN,URBAN OUTFITTERS INC,Consumer Cyclical,Retail - Apparel & Specialty,2022,2023-01-31,4795244000.0,-3361611000.0,-1200593000.0,233040000.0,159699000,3682912000.0,0.7010302291186851,0.25037161821171144,0.04859815266960347,0.033303623340126175,0.0433621547297356,22.026969580558855
URBN,URBAN OUTFITTERS INC,Consumer Cyclical,Retail - Apparel & Specialty,2023,2024-01-31,5153237000.0,-3425958000.0,-1339205000.0,388074000.0,287674000,4111209000.0,0.6648166967674881,0.25987646211497745,0.07530684111753447,0.05582394134017123,0.06997309064073366,22.136982982781753
URBN,URBAN OUTFITTERS INC,Consumer Cyclical,Retail - Apparel & Specialty,2024,2025-01-31,5550666000.0,-3619395000.0,-1452906000.0,478365000.0,402462000,4519480000.0,0.65206499544379,0.2617534544503308,0.08618155010587919,0.07250697483869503,0.08905051023569083,22.231662779924665
W,Wayfair Inc.,Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,14145000000.0,-10033000000.0,-3238000000.0,364000000.0,185000000,4570000000.0,0.7092965712265819,0.2289148108872393,0.025733474726051607,0.013078826440438318,0.04048140043763676,22.242779041852526
W,Wayfair Inc.,Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,13708000000.0,-9813000000.0,-3393000000.0,-82000000.0,-131000000,4570000000.0,0.715859352203093,0.24751969652757513,-0.005981908374671724,-0.009556463379048731,-0.028665207877461706,22.242779041852526
W,Wayfair Inc.,Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,12218000000.0,-8802000000.0,-4098000000.0,-1314000000.0,-1331000000,3580000000.0,0.7204125061384842,0.3354067768865608,-0.10754624324766737,-0.10893763300049109,-0.3717877094972067,21.99862863735902
W,Wayfair Inc.,Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-12-31,12003000000.0,-8336000000.0,-3844000000.0,-734000000.0,-738000000,3474000000.0,0.6944930434058152,0.32025327001582937,-0.06115137882196118,-0.0614846288427893,-0.21243523316062177,21.968572504765323
W,Wayfair Inc.,Consumer Cyclical,Retail - Apparel & Specialty,2024,2024-12-31,11851000000.0,-8277000000.0,-3449000000.0,-345000000.0,-492000000,3459000000.0,0.698422074086575,0.29103029280229514,-0.02911146738671842,-0.04151548392540714,-0.1422376409366869,21.964245366901444
WINA,WINMARK CORP,Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,66061800.0,-2103900.0,-23825700.0,40211500.0,29823300,31343200.0,0.15602665375771152,0.360657747745293,0.5740226257485593,0.4514454647012343,0.9515078230684806,17.2605078956146
WINA,WINMARK CORP,Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,78216200.0,-2940500.0,-24146100.0,51336200.0,39919900,26899000.0,0.15602665375771152,0.3087097046391924,0.5740226257485593,0.4865143949252013,1.0578353607649296,17.10759966915988
WINA,WINMARK CORP,Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,81410800.0,-3712800.0,-24143100.0,53612800.0,39424900,30455700.0,0.15602665375771152,0.2965589332127924,0.5740226257485593,0.4842711286463221,1.0578353607649296,17.23178372672015
WINA,WINMARK CORP,Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-12-31,83243500.0,-4461500.0,-25507000.0,53280600.0,40178100,28967700.0,0.15602665375771152,0.3064143146311724,0.5740226257485593,0.4826575047901638,1.0578353607649296,17.18169197411881
WINA,WINMARK CORP,Consumer Cyclical,Retail - Apparel & Specialty,2024,2024-12-31,81289100.0,-3379200.0,-24980800.0,52930600.0,39954200,26844500.0,0.15602665375771152,0.3073081138799667,0.5740226257485593,0.4865143949252013,1.0578353607649296,17.105571516222998
WISH,ContextLogic Inc.,Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,2541000000.0,-947000000.0,-2003000000.0,-631000000.0,-745000000,2397000000.0,0.3726879181424636,0.7882723337268792,-0.24832743014561195,-0.29319165682802045,-0.31080517313308303,21.59748379239866
WISH,ContextLogic Inc.,Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,2085000000.0,-977000000.0,-1267000000.0,-367000000.0,-361000000,1283000000.0,0.4685851318944844,0.607673860911271,-0.17601918465227817,-0.17314148681055155,-0.2813717848791894,20.972466922579912
WISH,ContextLogic Inc.,Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,571000000.0,-405000000.0,-370000000.0,-398000000.0,-384000000,799000000.0,0.7092819614711033,0.647985989492119,-0.608333900630029,-0.6725043782837128,-0.4806007509386733,20.49887150373055
WISH,ContextLogic Inc.,Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-12-31,287000000.0,-228000000.0,-235000000.0,-328000000.0,-317000000,423000000.0,0.794425087108014,0.818815331010453,-0.608333900630029,-0.7869891621864453,-0.5668952049610628,19.86288273701055
WISH,ContextLogic Inc.,Consumer Cyclical,Retail - Apparel & Specialty,2024,2024-12-31,43000000.0,-36000000.0,-60000000.0,-79000000.0,-75000000,156000000.0,0.8372093023255814,0.8682714805103531,-0.608333900630029,-0.7869891621864453,-0.4807692307692308,18.86536656521381
WSM,WILLIAMS SONOMA INC,Consumer Cyclical,Retail - Apparel & Specialty,2020,2021-01-31,6783189000.0,-4146920000.0,-1725572000.0,910697000.0,680714000,4661424000.0,0.6113525658801487,0.2543894914324221,0.13425794268742916,0.100353093508083,0.14603134149564598,22.262586817803232
WSM,WILLIAMS SONOMA INC,Consumer Cyclical,Retail - Apparel & Specialty,2021,2022-01-31,8245936000.0,-4613973000.0,-2178847000.0,1453116000.0,1126337000,4625620000.0,0.559545089847896,0.2642328293598204,0.17622208079228363,0.13659298350120594,0.2434996822047639,22.254876252980413
WSM,WILLIAMS SONOMA INC,Consumer Cyclical,Retail - Apparel & Specialty,2022,2023-01-31,8674417000.0,-4996684000.0,-2179311000.0,1498422000.0,1127904000,4663016000.0,0.5760253398009342,0.2512342904428044,0.17274036975626142,0.13002649054109341,0.24188293585096,22.262928286034132
WSM,WILLIAMS SONOMA INC,Consumer Cyclical,Retail - Apparel & Specialty,2023,2024-01-31,7750652000.0,-4447051000.0,-2059408000.0,1244193000.0,949762000,5273548000.0,0.573764761983895,0.2657077107835573,0.16052752723254765,0.1225396263436934,0.18009924248342862,22.385969217753864
WSM,WILLIAMS SONOMA INC,Consumer Cyclical,Retail - Apparel & Specialty,2024,2025-01-31,7711541000.0,-4129242000.0,-2152115000.0,1430184000.0,1125251000,5301607000.0,0.5354626267305069,0.2790771649920554,0.18546020827743767,0.14591778737868347,0.2122471544948541,22.39127581909354
YETI,"YETI Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,1091721000.0,-462918000.0,-414570000.0,214233000.0,155801000,737067000.0,0.42402591871000006,0.3797398785953554,0.1962342026946445,0.14271137039591617,0.21137969818211913,20.41818935511254
YETI,"YETI Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,1410989000.0,-594876000.0,-541175000.0,274938000.0,212602000,1096364000.0,0.42160215281621616,0.38354303258211087,0.194854814601673,0.15067587344763142,0.1939155244061279,20.815265087121983
YETI,"YETI Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,1595222000.0,-831821000.0,-637040000.0,126361000.0,89693000,1076765000.0,0.5214452910002495,0.3993425366500713,0.07921217234967923,0.05622602998203385,0.08329858418503573,20.79722701261177
YETI,"YETI Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-12-31,1658713000.0,-715527000.0,-717728000.0,225458000.0,169885000,1297192000.0,0.4313748068532651,0.43270173924000116,0.13592345390673372,0.10241976761501236,0.13096365071631647,20.98346776524922
YETI,"YETI Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2024,2024-12-31,1829873000.0,-766589000.0,-817908000.0,245376000.0,175689000,1286120000.0,0.4189301661918614,0.44697528189114766,0.13409455191699096,0.09601158113158673,0.1366038938823749,20.97489577100569
ZKH,ZKH Group Limited,Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,1235663162.0,-1039854374.0,-192508033.0,-101897486.0,-109323885,958404384.0,0.8415354653099224,0.1557932929621479,-0.08246380497017682,-0.08847385627572832,-0.11406864036214592,20.680780359605482
ZKH,ZKH Group Limited,Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-12-31,1232723902.0,-1027424718.0,-174746732.0,-56358988.0,-43014288,1025444279.0,0.8334589086275379,0.1417565861394322,-0.04571906808050194,-0.03489369187229405,-0.04194697740373273,20.748391798554362
ZKH,ZKH Group Limited,Consumer Cyclical,Retail - Apparel & Specialty,2024,2024-12-31,1218837115.0,-1008706845.0,-179189123.0,-47128234.0,-37288996,919588159.0,0.8275977426237139,0.1470164641318787,-0.03866655635933765,-0.03059391246056697,-0.040549669583120417,20.639436474519858
ZUMZ,Zumiez Inc,Consumer Cyclical,Retail - Apparel & Specialty,2020,2021-01-31,990652000.0,-640637000.0,-253077000.0,96938000.0,76227000,998364000.0,0.646682185065997,0.25546508763925174,0.09785272729475133,0.07694629395589975,0.07635191172758633,20.721628497237035
ZUMZ,Zumiez Inc,Consumer Cyclical,Retail - Apparel & Specialty,2021,2022-01-31,1183867000.0,-727137000.0,-298920000.0,157810000.0,119289000,862012000.0,0.6142049740384689,0.25249457920526547,0.1333004467562657,0.10076216331733209,0.1383843844401238,20.574779749644758
ZUMZ,Zumiez Inc,Consumer Cyclical,Retail - Apparel & Specialty,2022,2023-01-31,958380000.0,-633702000.0,-293578000.0,31100000.0,21034000,747903000.0,0.6612220622300131,0.3063273440597675,0.03245059371021933,0.021947452993593356,0.028123967947715146,20.4327838483853
ZUMZ,Zumiez Inc,Consumer Cyclical,Retail - Apparel & Specialty,2023,2024-01-31,875486000.0,-594596000.0,-345679000.0,-64789000.0,-62610000,664226000.0,0.6791610602568173,0.39484240753135974,-0.07400346778817708,-0.07151456448189919,-0.09426008617548846,20.314133010976676
ZUMZ,Zumiez Inc,Consumer Cyclical,Retail - Apparel & Specialty,2024,2025-01-31,889202000.0,-586162000.0,-301090000.0,1950000.0,-1713000,634881000.0,0.6592000467835205,0.33860697569281223,0.0021929775236672884,-0.0019264464092523408,-0.0026981434316037177,20.268948137720294
