Ticker,Company Name,Avg_Revenue,Avg_COGS_ratio,Avg_SGA_ratio,Avg_Operating_Margin,Avg_Net_Margin,Avg_ROA,Years
LOW,LOWES COMPANIES INC,90591400000.0,0.6674914382602719,0.19481311221547828,0.11937174607135514,0.07834874771460579,0.16150021573199108,5
LEAT,Leatt Corp,55736954.0,0.5772549535614142,0.12094537361610154,0.1010310792304677,0.0771006599192002,0.1171248871654403,5
TSCO,Tractor Supply Company,13399029200.0,0.6444656832564515,0.2301161519614471,0.10084547773075833,0.07510929862316748,0.1191336508871828,5
ROST,ROSS STORES INC,18329959600.0,0.7408819803929783,0.16300957683539005,0.0961084427716317,0.0739390267122512,0.10341053643796161,5
SCVL,SHOE CARNIVAL INC,1201589400.0,0.6434864176199175,0.26057387948206867,0.0959397028980138,0.07374405418956706,0.10093186343353167,5
ETSY,ETSY INC,2435511800.0,0.28356334521696386,0.4027490261912316,0.17165153323122828,0.07272322392233974,0.05010399097024317,5
HIBB,HIBBETT SPORTS INC,1637011000.0,0.6431164257656123,0.2338865880815105,0.09897743543005647,0.07250311412785496,0.14739600329951788,4
CRI,Carter's Inc,3102640600.0,0.5353465345221213,0.3623089388925002,0.10234452658537854,0.07114219482886994,0.083077125751287,5
HVT,"Haverty Furniture Companies, Inc.",878659600.0,0.416312705982679,0.5055437199275309,0.08747171487658384,0.0693927241522798,0.09475560646592297,5
FND,"Floor & Decor Holdings, Inc.",3798689600.0,0.5800464305550612,0.33225498609092674,0.08210816368450666,0.0669450715061746,0.06113219961466367,5
RVLV,"Revolve Group, Inc.",954417000.0,0.46866601341304504,0.430442089069816,0.0711820198158007,0.06665957038705642,0.12311368400155945,5
ELA,Envela Corporation,153209443.25,0.7732413078892656,0.1562773824878906,0.06331027715738412,0.06349627422729344,0.16106634053961852,4
TJX,TJX COMPANIES INC /DE/,48240000000.0,0.7192583826280818,0.19431884048826284,0.08642277688365524,0.06185875359365173,0.10905312321281269,5
ARHS,"Arhaus, Inc.",1018418000.0,0.5903141200655504,0.3199504042453206,0.08973547568912896,0.060170507476656955,0.07416293691112584,5
SIG,SIGNET JEWELERS LTD,6953980000.0,0.6188481419910048,0.2988504518625305,0.07681689327274169,0.05312861717251218,0.060233144475758095,5
AAP,ADVANCE AUTO PARTS INC,10084394666.666666,0.5487246738957295,0.3825025724439888,0.06877275366028163,0.0512638793220031,0.04310386158836821,3
